,ECA,ThickA,ECB,ThickB,ECC,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5,predicted
0,23.0,0.05,1.0,0.1,1.0,1.4811772660258335,1.6992350399696237,1.464654499371721,1.0834609596185878,1.1796995118399054,1.2180331770601187,1.0329189766443863,1.0748658385453504,1.1007588616592427,2.4868154429236022,1.5679563616742374,1.021560690480472,1.7156487861864527,1.446997868300674,1.2163176134228353,1.4669438215311663,1.3229761239085382,1.1911419833408587,2.8109823742813655,1.7827692011601148,1.015225647420167,1.787054741099004,1.5642804545069033,1.318263957707988,1.4968136716064318,1.3805368811538332,1.255123250627273,22.989993680151123
1,34.0,0.05,1.0,0.1,1.0,1.7314755611932902,2.120106097098163,1.8434283584643079,1.126783800159819,1.2833556167695996,1.3628114201475485,1.050002295527657,1.117830581383877,1.166067042416198,3.3203212130261246,2.068839353026826,1.3252342545341604,2.111875731120301,1.7762983971637132,1.4859599394208025,1.7247911224342298,1.5538704754588901,1.3963247718090805,3.81453162899114,2.431401679453935,1.3763918617235245,2.220454722789951,1.9631071579980168,1.6630912747390338,1.770189315881594,1.6449755481958719,1.503952688459076,33.99921700259682
2,45.0,0.05,1.0,0.1,1.0,1.9817738563607472,2.5409771542267032,2.2222022175568945,1.1701066407010505,1.3870117216992934,1.5075896632349783,1.0670856144109275,1.1607953242224034,1.2313752231731536,4.153826983128647,2.5697223443794144,1.628907818587849,2.508102676054149,2.1055989260267527,1.7556022654187697,1.9826384233372933,1.784764827009242,1.6015075602773023,4.818080883700915,3.0800341577477557,1.7375580760268816,2.653854704480898,2.3619338614891308,2.0079185917700797,2.043564960156756,1.909414215237911,1.752782126290879,44.97477661710886
3,100.0,0.05,1.0,0.1,1.0,3.2332653321980303,4.645332439869402,4.116071513019828,1.3867208434072071,1.9052922463477637,2.2314808786721274,1.1525022088272814,1.3756190384150357,1.557916126957931,8.32135583364126,5.074137301142358,3.1472756388562915,4.489237400723391,3.752101570341949,3.103813895408606,3.271874927852611,2.939236584761002,2.6274215026184113,9.835827157249788,6.323196549216858,3.5433891475436687,4.8208546129356336,4.356067378944699,3.732055176925309,3.410443181532566,3.231607550448105,2.9969293154498944,99.95982693590179
4,12.0,0.21111111111111108,1.0,0.1,1.0,2.427345466781608,2.597679398449487,2.158337102345755,1.2874309987253671,1.4869104270293878,1.5806032437196933,1.1157469080304296,1.2097455893850846,1.2773484086734357,3.7265357215115733,2.3085817942813556,1.4904511987211264,2.4805341859467003,2.0745164090090804,1.7267482838694534,1.9938108230033431,1.7918432748788773,1.6058063613991984,4.457927133058773,2.6892252163063013,1.5130393680089886,2.699785027039344,2.3627237796284986,1.982525137100256,2.0915256657738706,1.943495507456988,1.7746788437668641,11.997898879219546
5,45.0,0.21111111111111108,1.0,0.1,1.0,6.767639840053673,7.818238816660316,6.512028065823378,2.159278159293094,3.030479802175999,3.5369829022229955,1.466730615488185,1.8721732989354454,2.198966134257747,12.446731177890623,7.535756040218242,4.719164107765222,7.152552054830531,5.932875204312536,4.875894251197111,5.121495632838254,4.583810837092006,4.080896226383548,15.420056937649644,9.300388131507786,5.1734778155955965,8.038375775006045,7.151013975939968,6.044272577463334,5.515915513927157,5.219003388618686,4.826322250176456,44.990953105588986
6,56.0,0.21111111111111108,1.0,0.1,1.0,8.214404631144362,9.558425289397261,7.963258386982585,2.449893879482336,3.5450029272248695,4.18910945505743,1.58372518464077,2.092982535452232,2.5061720427858507,15.35346299668364,9.278147455530538,5.795401744113253,8.709891344458475,7.218994802747021,5.9256095736396635,6.164057236116557,5.514466691163049,4.905926181378332,19.0741002058466,11.504109103241614,6.393623964791132,9.81790602432828,8.747110708043792,7.398188390917695,6.65737879664492,6.310839349005919,5.843536718979653,55.99344543546372
7,67.0,0.21111111111111108,1.0,0.1,1.0,9.66116942223505,11.298611762134204,9.414488708141793,2.7405095996715785,4.05952605227374,4.8412360078918635,1.7007197537933552,2.3137917719690195,2.8133779513139547,18.26019481547666,11.020538870842834,6.871639380461284,10.267230634086419,8.505114401181507,6.975324896082216,7.206618839394862,6.445122545234092,5.730956136373115,22.728143474043556,13.70783007497544,7.613770113986668,11.597436273650514,10.343207440147614,8.752104204372056,7.798842079362683,7.402675309393151,6.86075118778285,66.99014804366709
8,34.0,0.5333333333333333,1.0,0.1,1.0,12.8914814503836,12.176399545118125,9.66811993290135,4.454538861229387,5.6035085541887515,6.133710977647361,2.497286085272181,3.162297535983652,3.6667900786461503,16.41697157002604,10.110002041649736,6.5188895467059496,11.114594523724298,9.144427529432361,7.48325447048746,8.177411720020295,7.280372307466366,6.452051006963417,20.233182667904803,11.804410863978056,6.663624736369326,13.203500617607821,11.370426091271538,9.398567454253675,9.264547278822933,8.648732292679371,7.901450460683833,33.99459956154561
9,23.0,0.6944444444444444,1.0,0.1,1.0,10.834917180293589,9.839740046346332,7.768418028515739,4.359405857326456,5.148532019445023,5.449168684992372,2.525290968960828,3.046298566388063,3.4253255838725445,12.50861361972433,7.8029545171231725,5.108030943970825,9.148435355085669,7.522579832202336,6.164819532276534,6.945523886909886,6.176720734505263,5.471945725072933,15.108625398104575,8.821985479195227,5.030245775338222,10.966439503083002,9.329005607614794,7.6568854178744905,7.973045460312236,7.383068253091366,6.7019852427367566,23.09115072648523
