,ECA,ThickA,ECB,ThickB,ECC,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5,predicted
0,45.0,0.05,1.0,0.1,1.0,1.9817738563607472,2.5409771542267032,2.2222022175568945,1.1701066407010505,1.3870117216992934,1.5075896632349783,1.0670856144109275,1.1607953242224034,1.2313752231731536,4.153826983128647,2.5697223443794144,1.628907818587849,2.508102676054149,2.1055989260267527,1.7556022654187697,1.9826384233372933,1.784764827009242,1.6015075602773023,4.818080883700915,3.0800341577477557,1.7375580760268816,2.653854704480898,2.3619338614891308,2.0079185917700797,2.043564960156756,1.909414215237911,1.752782126290879,0.7089367642493484
1,67.0,0.05,1.0,0.1,1.0,2.4823704466956604,3.3827192684837826,2.979749935742068,1.2567523217835133,1.5943239315586815,1.797146149409838,1.1012522521774692,1.2467248098994563,1.3619915846870645,5.820838523333693,3.571488327084592,2.236254946695226,3.3005565659218457,2.7641999837528313,2.294886917414704,2.4983330251434204,2.246553530109946,2.011873137213746,6.8251793931204645,4.377299114335397,2.4598905046335964,3.520654667862792,3.159587268471358,2.697573225832171,2.59031624870708,2.4382915493219888,2.250441001954485,0.7012950450523788
2,78.0,0.05,1.0,0.1,1.0,2.732668741863117,3.8035903256123227,3.3585237948346545,1.3000751623247444,1.6979800364883757,1.9419243924972678,1.1183355710607399,1.2896895527379828,1.4272997654440198,6.654344293436216,4.072371318437181,2.5399285107489145,3.696783510855694,3.0935005126158703,2.5645292434126716,2.7561803260464837,2.4774478816602983,2.2170559256819677,7.828728647830239,5.025931592629218,2.821056718936954,3.9540546495537394,3.5584139719624717,3.0424005428632173,2.863691892982242,2.7027302163640274,2.499270439786288,0.7050966201651735
3,89.0,0.05,1.0,0.1,1.0,2.9829670370305736,4.224461382740863,3.7372976539272416,1.343398002865976,1.8016361414180695,2.0867026355846976,1.1354188899440105,1.3326542955765093,1.4926079462009754,7.487850063538738,4.573254309789769,2.843602074802603,4.093010455789543,3.4228010414789094,2.8341715694106386,3.014027626949548,2.70834223321065,2.4222387141501898,8.832277902540014,5.674564070923038,3.1822229332403116,4.387454631244687,3.957240675453585,3.3872278598942627,3.1370675372574044,2.9671688834060665,2.748099877618091,0.7008030992152389
4,12.0,0.21111111111111108,1.0,0.1,1.0,2.427345466781608,2.597679398449487,2.158337102345755,1.2874309987253671,1.4869104270293878,1.5806032437196933,1.1157469080304296,1.2097455893850846,1.2773484086734357,3.7265357215115733,2.3085817942813556,1.4904511987211264,2.4805341859467003,2.0745164090090804,1.7267482838694534,1.9938108230033431,1.7918432748788773,1.6058063613991984,4.457927133058773,2.6892252163063013,1.5130393680089886,2.699785027039344,2.3627237796284986,1.982525137100256,2.0915256657738706,1.943495507456988,1.7746788437668641,0.8386375440717164
5,23.0,0.21111111111111108,1.0,0.1,1.0,3.874110257872296,4.33786587118643,3.6095674235049624,1.5780467189146092,2.0014335520782582,2.2327297965541275,1.2327414771830147,1.4305548259018714,1.5845543172015395,6.6332675403045895,4.050973209593652,2.566688835069158,4.037873475574644,3.360636007443566,2.776463606312006,3.036372426281647,2.72249912894992,2.4308363163939815,8.111970401255729,4.8929461880401295,2.7331855172045247,4.479315276361578,3.958820511732322,3.3364409505546155,3.232988948491633,3.0353314678442205,2.7918933125700613,0.8281736054202797
6,34.0,0.21111111111111108,1.0,0.1,1.0,5.320875048962985,6.078052343923373,5.06079774466417,1.8686624391038515,2.5159566771271287,2.8848563493885613,1.3497360463355998,1.6513640624186583,1.8917602257296433,9.539999359097607,5.793364624905948,3.6429264714171894,5.595212765202588,4.646755605878051,3.8261789287545587,4.07893402955995,3.6531549830209635,3.255866271388765,11.766013669452686,7.096667159773958,3.953331666400061,6.258845525683811,5.554917243836144,4.690356764008976,4.374452231209395,4.127167428231454,3.8091077813732586,0.8049341767949139
7,78.0,0.21111111111111108,1.0,0.1,1.0,11.107934213325738,13.038798234871148,10.865719029301001,3.031125319860821,4.57404917732261,5.493362560726299,1.8177143229459403,2.534601008485806,3.1205838598420583,21.16692663426967,12.76293028615513,7.947877016809315,11.824569923714362,9.791233999615992,8.025040218524769,8.249180442673165,7.375778399305135,6.555986091367899,26.382186742240513,15.911551046709269,8.833916263182205,13.376966522972749,11.939304172251436,10.106020017826413,8.940305362080444,8.494511269780384,7.877965656586047,0.8331179781908501
8,89.0,0.21111111111111108,1.0,0.1,1.0,12.554699004416426,14.77898470760809,12.316949350460208,3.321741040050062,5.088572302371481,6.145489113560732,1.9347088920985254,2.755410245002593,3.427789768370162,24.07365845306269,14.505321701467425,9.024114653157348,13.381909213342306,11.077353598050477,9.074755540967322,9.29174204595147,8.306434253376178,7.3810160463626815,30.03623001043747,18.115272018443097,10.054062412377743,15.156496772294982,13.53540090435526,11.459935831280774,10.081768644798206,9.586347230167618,8.895180125389246,0.8279904906618762
9,100.0,0.21111111111111108,1.0,0.1,1.0,14.001463795507114,16.519171180345033,13.768179671619416,3.6123567602393045,5.603095427420352,6.797615666395165,2.0517034612511105,2.9762194815193803,3.734995676898266,26.980390271855704,16.24771311677972,10.100352289505379,14.93924850297025,12.36347319648496,10.124470863409874,10.334303649229772,9.237090107447223,8.206046001357464,33.69027327863442,20.318992990176927,11.274208561573278,16.936027021617214,15.131497636459082,12.813851644735134,11.22323192751597,10.67818319055485,9.912394594192442,0.8357369513214516
