,ECA,ThickA,ECB,ThickB,ECC,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5,predicted
0,23.0,0.05,1.0,0.1,1.0,1.4811772660258335,1.6992350399696237,1.464654499371721,1.0834609596185878,1.1796995118399054,1.2180331770601187,1.0329189766443863,1.0748658385453504,1.1007588616592427,2.4868154429236022,1.5679563616742374,1.021560690480472,1.7156487861864527,1.446997868300674,1.2163176134228353,1.4669438215311663,1.3229761239085382,1.1911419833408587,2.8109823742813655,1.7827692011601148,1.015225647420167,1.787054741099004,1.5642804545069033,1.318263957707988,1.4968136716064318,1.3805368811538332,1.255123250627273,22.950931988166378
1,45.0,0.05,1.0,0.1,1.0,1.9817738563607472,2.5409771542267032,2.2222022175568945,1.1701066407010505,1.3870117216992934,1.5075896632349783,1.0670856144109275,1.1607953242224034,1.2313752231731536,4.153826983128647,2.5697223443794144,1.628907818587849,2.508102676054149,2.1055989260267527,1.7556022654187697,1.9826384233372933,1.784764827009242,1.6015075602773023,4.818080883700915,3.0800341577477557,1.7375580760268816,2.653854704480898,2.3619338614891308,2.0079185917700797,2.043564960156756,1.909414215237911,1.752782126290879,44.937692585819484
2,56.0,0.05,1.0,0.1,1.0,2.232072151528204,2.9618482113552433,2.600976076649481,1.2134294812422817,1.4906678266289877,1.6523679063224082,1.0841689332941984,1.2037600670609299,1.2966834039301092,4.98733275323117,3.070605335732003,1.9325813826415374,2.9043296209879976,2.4348994548897918,2.025244591416737,2.240485724240357,2.015659178559594,1.8066903487455241,5.82163013841069,3.7286666360415763,2.098724290330239,3.0872546861718453,2.7607605649802442,2.3527459088011256,2.316940604431918,2.1738528822799497,2.001611564122682,55.96516433709389
3,67.0,0.05,1.0,0.1,1.0,2.4823704466956604,3.3827192684837826,2.979749935742068,1.2567523217835133,1.5943239315586815,1.797146149409838,1.1012522521774692,1.2467248098994563,1.3619915846870645,5.820838523333693,3.571488327084592,2.236254946695226,3.3005565659218457,2.7641999837528313,2.294886917414704,2.4983330251434204,2.246553530109946,2.011873137213746,6.8251793931204645,4.377299114335397,2.4598905046335964,3.520654667862792,3.159587268471358,2.697573225832171,2.59031624870708,2.4382915493219888,2.250441001954485,66.9693225827552
4,78.0,0.05,1.0,0.1,1.0,2.732668741863117,3.8035903256123227,3.3585237948346545,1.3000751623247444,1.6979800364883757,1.9419243924972678,1.1183355710607399,1.2896895527379828,1.4272997654440198,6.654344293436216,4.072371318437181,2.5399285107489145,3.696783510855694,3.0935005126158703,2.5645292434126716,2.7561803260464837,2.4774478816602983,2.2170559256819677,7.828728647830239,5.025931592629218,2.821056718936954,3.9540546495537394,3.5584139719624717,3.0424005428632173,2.863691892982242,2.7027302163640274,2.499270439786288,77.95369830922343
5,1.0,0.21111111111111108,1.0,0.1,1.0,0.9805806756909201,0.8574929257125441,0.7071067811865475,0.996815278536125,0.9723873019805175,0.9284766908852592,0.9987523388778446,0.9889363528682975,0.9701425001453319,0.8198039027185571,0.5661903789690601,0.4142135623730949,0.9231948963187563,0.7883968105745953,0.6770329614269008,0.9512492197250393,0.8611874208078342,0.7807764064044151,0.803883864861816,0.48550424457247343,0.2928932188134523,0.92025477771711,0.7666270475246758,0.6286093236458963,0.9500623830561078,0.8516595470697553,0.7574643749636669,1.033394227608219
6,45.0,0.21111111111111108,1.0,0.1,1.0,6.767639840053673,7.818238816660316,6.512028065823378,2.159278159293094,3.030479802175999,3.5369829022229955,1.466730615488185,1.8721732989354454,2.198966134257747,12.446731177890623,7.535756040218242,4.719164107765222,7.152552054830531,5.932875204312536,4.875894251197111,5.121495632838254,4.583810837092006,4.080896226383548,15.420056937649644,9.300388131507786,5.1734778155955965,8.038375775006045,7.151013975939968,6.044272577463334,5.515915513927157,5.219003388618686,4.826322250176456,44.99187654642581
7,56.0,0.21111111111111108,1.0,0.1,1.0,8.214404631144362,9.558425289397261,7.963258386982585,2.449893879482336,3.5450029272248695,4.18910945505743,1.58372518464077,2.092982535452232,2.5061720427858507,15.35346299668364,9.278147455530538,5.795401744113253,8.709891344458475,7.218994802747021,5.9256095736396635,6.164057236116557,5.514466691163049,4.905926181378332,19.0741002058466,11.504109103241614,6.393623964791132,9.81790602432828,8.747110708043792,7.398188390917695,6.65737879664492,6.310839349005919,5.843536718979653,55.99140266260722
8,89.0,0.21111111111111108,1.0,0.1,1.0,12.554699004416426,14.77898470760809,12.316949350460208,3.321741040050062,5.088572302371481,6.145489113560732,1.9347088920985254,2.755410245002593,3.427789768370162,24.07365845306269,14.505321701467425,9.024114653157348,13.381909213342306,11.077353598050477,9.074755540967322,9.29174204595147,8.306434253376178,7.3810160463626815,30.03623001043747,18.115272018443097,10.054062412377743,15.156496772294982,13.53540090435526,11.459935831280774,10.081768644798206,9.586347230167618,8.895180125389246,88.98947146337767
9,89.0,0.3722222222222222,1.0,0.1,1.0,23.294522712107952,23.79739219733037,19.16758140530563,6.3950155470348395,9.038902670944198,10.466753996129277,3.243873202613741,4.600977594093776,5.679752315752186,35.030456289027654,21.251998846334253,13.430755876191919,21.33864040073366,17.57377901081727,14.354712748457908,15.019292057751402,13.385723777182026,11.86243103430481,43.96853487350867,25.819398446076942,14.4129717286933,25.001925264057558,21.909503371224787,18.30322724602891,16.777308262517835,15.834192175745304,14.592329485537554,89.23392509568713
10,1.0,0.5333333333333333,1.0,0.1,1.0,0.9805806756909201,0.8574929257125441,0.7071067811865475,0.996815278536125,0.9723873019805175,0.9284766908852592,0.9987523388778446,0.9889363528682975,0.9701425001453319,0.8198039027185571,0.5661903789690601,0.4142135623730949,0.9231948963187563,0.7883968105745953,0.6770329614269008,0.9512492197250393,0.8611874208078342,0.7807764064044151,0.803883864861816,0.48550424457247343,0.2928932188134523,0.92025477771711,0.7666270475246758,0.6286093236458963,0.9500623830561078,0.8516595470697553,0.7574643749636669,1.033394227608219
11,34.0,0.5333333333333333,1.0,0.1,1.0,12.8914814503836,12.176399545118125,9.66811993290135,4.454538861229387,5.6035085541887515,6.133710977647361,2.497286085272181,3.162297535983652,3.6667900786461503,16.41697157002604,10.110002041649736,6.5188895467059496,11.114594523724298,9.144427529432361,7.48325447048746,8.177411720020295,7.280372307466366,6.452051006963417,20.233182667904803,11.804410863978056,6.663624736369326,13.203500617607821,11.370426091271538,9.398567454253675,9.264547278822933,8.648732292679371,7.901450460683833,33.98665455980682
