,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.026672943601505662,0.0010332285219846356,0.0007329971821665688,0.0033987697794898714,0.00114758533530578,0.0008552556825696998,0.007366997000532748,0.002921924520702026,0.0028045986396481944,0.006530401014206144,0.003431955303241309,0.0022599810872727215,0.0007797060539784709,0.000516409453832786,0.0005315765687091563,0.0006558868653300051,0.0005712120584471389,0.0009619648529365997,0.620062608269479,0.2027177710689668,0.009650125956364202,0.06359512909010796,0.002786610604254918,0.002179948968525295,0.02981557724744697,0.003217146670188431,0.002801688602806991
Thick_A,0.07284544691092662,0.007780527451039157,0.005681994123338843,0.06392927838016224,0.011521237056195616,0.010321006785771289,0.03745814068351393,0.021591888299619076,0.026293551873173948,0.01761496735259303,0.009520397194230886,0.009018399478969315,0.005210927024366267,0.004207668712353584,0.004827929309818425,0.004761950579855244,0.004025105747922961,0.006061641086050144,0.27764096304682573,0.0837823852411457,0.052096771199272605,0.15258209497527858,0.013288209674632323,0.010429426827300414,0.05672504312911021,0.015378653172989629,0.015404394683544237
EC_B,0.03053541572729912,0.007073537818067313,0.07767442001289541,0.0013930624712026757,0.00062429805348999,0.0005667753366580562,0.0024276200161843465,0.0018228330215046065,0.012847408515091762,0.00955249513622749,0.0050607899575820375,0.06199884201740408,0.013760701522521304,0.012775149678753104,0.017700086553833212,0.000607512558800475,0.0005686769629072455,0.0019009715194254363,0.10979339781062306,0.006899807915664127,0.0022259104847340175,0.019082655872521635,0.0016630417093622097,0.0015236366952376356,0.5895481538043355,0.005670835149168022,0.00470196367850628
Thick_B,0.03594344561778748,0.019868278402081697,0.02357393980851825,0.1328206812661541,0.05138424756916653,0.04283347760935981,0.08830537805922274,0.061451525743888846,0.06869687640870217,0.019979904486041943,0.017130108896810763,0.022248332041610412,0.02616120335541796,0.0261700869953158,0.03229300131668024,0.03357989085097952,0.03152577071222547,0.03339015537016905,0.021103397653007783,0.018943784660438494,0.01760494271324935,0.02221255920252324,0.017284143088654787,0.01683724604200814,0.05142970792487199,0.035029691488946295,0.03219822271616712
EC_C,0.002611694661866836,0.00044175770552088746,0.0002871977690640943,0.029507734507819537,0.00022399149615733057,0.0005083190859093298,0.7440720738053399,0.002088462490108709,0.05725337511569935,0.0005842340131265325,0.00031927867662594835,0.0003682637032939662,0.00013067137995652285,0.00014811633096257145,0.0005835081134858806,0.00023040479300744592,0.0004278180624364209,0.0058211420639397845,0.00975022740025868,0.0021791266542780857,0.00046255697447689293,0.0003311112336600745,0.0001720823443117282,0.00019414266023552108,0.13961347776914765,0.0010722155271344475,0.0006170156621759087
