,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.04660420642949846,0.0020362784665524324,0.0017822128137636166,0.00485691927303245,0.0010416834393688881,0.0007375177291717648,0.010902580917829299,0.0032812569787742663,0.0016819570699316202,0.007037786510971242,0.0065575791949295855,0.006520847498588922,0.0013996122056206617,0.0007781371803576418,0.000783011156887888,0.0007029922671313914,0.0007067660087363365,0.0009073676295085393,0.2173301736437388,0.6134206702264011,0.007745255488765911,0.0362564912136452,0.004169401852506643,0.0041715835311956755,0.009915309966078931,0.004603342658519863,0.004069058648492725
Thick_A,0.08571836408476645,0.005028424062439821,0.004457097005004888,0.01209238966357033,0.002554785968706201,0.0024279967798670203,0.06281167680661762,0.007925119483124722,0.009872743916021711,0.018815719890705417,0.010863173961381851,0.018830673157156204,0.002558799897370488,0.0024032464649751334,0.0036924850435743374,0.0020154367728933303,0.002328420514665661,0.003400392966701693,0.32446282890911715,0.11240844098787113,0.0385497856684476,0.16255758345622923,0.011060484033433005,0.010042717447325811,0.06354616803002815,0.011370247971975686,0.008204797056029334
EC_B,0.07007081687301704,0.021488272775900284,0.022496758816957074,0.04763944566327062,0.0207918151608327,0.016492346256959528,0.06772085034561781,0.03400065132463161,0.035736452487228086,0.03118573387961654,0.030750923098273198,0.026249375120183317,0.0238132124315491,0.026475089299102993,0.022165594711458923,0.01417117538924692,0.013266326271531926,0.014832261138235662,0.11437749213005952,0.051861111709219476,0.04440960296092016,0.07277865505640976,0.029413533815929573,0.027756300378561617,0.05854425488703694,0.030948121678251513,0.030563826339998074
Thick_B,0.06185878359881908,0.012224517162678758,0.01807701747751305,0.1952462860983751,0.008828832458506209,0.008492664446728165,0.08926794997137293,0.021041229248991176,0.05720918075294339,0.03403531742395377,0.01718333993100806,0.025596454388162743,0.015456873609146281,0.023807837672216645,0.0616562338819938,0.0055678005048686394,0.005084717947960621,0.0152623948732577,0.05613243868046482,0.02216783010578867,0.009857630411980216,0.03212119873407006,0.008685294730323093,0.008197860207197757,0.15502813504382637,0.017035652574850537,0.014876528063002412
EC_C,0.0021685033245587818,0.00019828897102694252,0.00011671420607175156,0.014704652951855048,0.00026677504341891334,0.00035898900691350226,0.9246189205143537,0.001344652135386788,0.01475005845127142,0.00013038169107332942,0.0001047964145958052,0.00010752147988537637,9.21165374277839e-05,7.626890377521077e-05,0.0001659823674690748,0.00014573993929185231,0.0002131840763089924,0.0012038674029974466,0.0013941050377089244,0.00023638627336879407,0.0001300931514743297,0.00672206773126775,0.00016531866261889982,0.00010390778632212564,0.029331403964867348,0.0006796205988781025,0.0004696833758119854
