Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range
ThickA;Cen;ThickB;0.98;98;3;0.33;0.05;2;1.95;0.489632;0.47983936;0.246071467
ThickA;Cen;ThickB;1.01;101;4;0.11;0.05;2;1.95;0.489632;0.49452832;0.253604267
ECB;Cen;ThickB;0.99;99;1;0.78;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECB;Cen;ThickB;0.97;97;2;0.56;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECB;Cen;ThickB;0.94;94;3;0.33;0.05;2;1.95;0.489632;0.46025408;0.236027733
ECB;Cen;ThickB;0.91;91;4;0.11;0.05;2;1.95;0.489632;0.44556512;0.228494933
ThickB;Cen;ThickB;0.86;86;1;0.78;0.05;2;1.95;0.489632;0.42108352;0.215940267
ThickB;Cen;ThickB;0.7;70;2;0.56;0.05;2;1.95;0.489632;0.3427424;0.175765333
ThickB;Cen;ThickB;0.48;48;3;0.33;0.05;2;1.95;0.489632;0.23502336;0.1205248
ThickB;Cen;ThickB;0.23;23;4;0.11;0.05;2;1.95;0.489632;0.11261536;0.057751467
ECC;Cen;ThickB;1.01;101;1;0.78;0.05;2;1.95;0.489632;0.49452832;0.253604267
ECC;Cen;ThickB;0.99;99;2;0.56;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECC;Cen;ThickB;0.98;98;3;0.33;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECC;Cen;ThickB;0.93;93;4;0.11;0.05;2;1.95;0.489632;0.45535776;0.2335168
ECA;Cen;ECC;1.01;101;1;0.78;1;100;99;1.508747;1.52383447;0.015392267
ECA;Cen;ECC;1.03;103;2;0.56;1;100;99;1.508747;1.55400941;0.015697065
ECA;Cen;ECC;1.09;109;3;0.33;1;100;99;1.508747;1.64453423;0.016611457
ECA;Cen;ECC;1.22;122;4;0.11;1;100;99;1.508747;1.84067134;0.01859264
ThickA;Cen;ECC;1.04;104;1;0.78;1;100;99;1.508747;1.56909688;0.015849463
ThickA;Cen;ECC;1.1;110;2;0.56;1;100;99;1.508747;1.6596217;0.016763856
ThickA;Cen;ECC;1.15;115;3;0.33;1;100;99;1.508747;1.73505905;0.017525849
ThickA;Cen;ECC;1.28;128;4;0.11;1;100;99;1.508747;1.93119616;0.019507032
ECB;Cen;ECC;1;100;1;0.78;1;100;99;1.508747;1.508747;0.015239869
ECB;Cen;ECC;0.95;95;2;0.56;1;100;99;1.508747;1.43330965;0.014477875
ECB;Cen;ECC;0.98;98;3;0.33;1;100;99;1.508747;1.47857206;0.014935071
ECB;Cen;ECC;1.08;108;4;0.11;1;100;99;1.508747;1.62944676;0.016459058
ThickB;Cen;ECC;1.01;101;1;0.78;1;100;99;1.508747;1.52383447;0.015392267
ThickB;Cen;ECC;1.02;102;2;0.56;1;100;99;1.508747;1.53892194;0.015544666
ThickB;Cen;ECC;1.07;107;3;0.33;1;100;99;1.508747;1.61435929;0.016306659
ThickB;Cen;ECC;1.27;127;4;0.11;1;100;99;1.508747;1.91610869;0.019354633
ECC;Cen;ECC;1;100;1;0.78;1;100;99;1.508747;1.508747;0.015239869
ECC;Cen;ECC;1.01;101;2;0.56;1;100;99;1.508747;1.52383447;0.015392267
ECC;Cen;ECC;1.02;102;3;0.33;1;100;99;1.508747;1.53892194;0.015544666
ECC;Cen;ECC;0.89;89;4;0.11;1;100;99;1.508747;1.34278483;0.013563483
ECA;SL;ECA;0.98;98;1;0.89;1;100;99;7.265572;7.12026056;0.071921824
ECA;SL;ECA;0.95;95;2;0.78;1;100;99;7.265572;6.9022934;0.069720135
ECA;SL;ECA;0.89;89;3;0.67;1;100;99;7.265572;6.46635908;0.065316758
ECA;SL;ECA;0.83;83;4;0.56;1;100;99;7.265572;6.03042476;0.060913381
ECA;SL;ECA;0.73;73;5;0.44;1;100;99;7.265572;5.30386756;0.05357442
ECA;SL;ECA;0.62;62;6;0.33;1;100;99;7.265572;4.50465464;0.045501562
ECA;SL;ECA;0.52;52;7;0.22;1;100;99;7.265572;3.77809744;0.0381626
ECA;SL;ECA;0.38;38;8;0.11;1;100;99;7.265572;2.76091736;0.027888054
ThickA;SL;ECA;1.04;104;1;0.89;1;100;99;7.265572;7.55619488;0.076325201
ThickA;SL;ECA;1.12;112;2;0.78;1;100;99;7.265572;8.13744064;0.08219637
ThickA;SL;ECA;1.18;118;3;0.67;1;100;99;7.265572;8.57337496;0.086599747
ThickA;SL;ECA;1.25;125;4;0.56;1;100;99;7.265572;9.081965;0.09173702
ThickA;SL;ECA;1.36;136;5;0.44;1;100;99;7.265572;9.88117792;0.099809878
ThickA;SL;ECA;1.51;151;6;0.33;1;100;99;7.265572;10.97101372;0.11081832
ThickA;SL;ECA;1.71;171;7;0.22;1;100;99;7.265572;12.42412812;0.125496244
ThickA;SL;ECA;1.92;192;8;0.11;1;100;99;7.265572;13.94989824;0.140908063
